# omega0=1.00, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=250.00, h=0.01
#   t          x(t)                 v(t)       
5.934119456780683e+00 -1.888602453671529e+00 -1.790231073482117e+00
6.050474740246970e+00 -2.094310588596175e+00 -1.747322846189877e+00
6.166830023713257e+00 -2.295682078853737e+00 -1.716227660366905e+00
6.283185307179544e+00 -2.494265105297618e+00 -1.699811384954313e+00
6.399540590645832e+00 -2.691900977518469e+00 -1.700258128416410e+00
6.515895874112119e+00 -2.890648667335620e+00 -1.719134180803251e+00
6.632251157578406e+00 -3.092715303768737e+00 -1.757421324979172e+00
6.748606441044694e+00 -3.300387400587919e+00 -1.815492230262723e+00
6.864961724510981e+00 -3.515954878977417e+00 -1.893008751498168e+00
6.981317007977268e+00 -3.741618272122657e+00 -1.988734161026690e+00
7.097672291443556e+00 -3.979369332409648e+00 -2.100266926626298e+00
7.214027574909843e+00 -4.230837647835029e+00 -2.223731724848807e+00
7.330382858376130e+00 -4.497102358689938e+00 -2.353505757257867e+00
7.446738141842418e+00 -4.778480109667877e+00 -2.482109578270177e+00
7.563093425308705e+00 -5.074317920489641e+00 -2.600429800888700e+00
7.679448708774992e+00 -5.382838985593887e+00 -2.698425538361301e+00
7.795803992241280e+00 -5.701101594858120e+00 -2.766357441579152e+00
7.912159275707567e+00 -6.025124151669024e+00 -2.796363150910175e+00
8.028514559173855e+00 -6.350194547349285e+00 -2.783966806878473e+00
8.144869842640142e+00 -6.671326140485492e+00 -2.729008008059603e+00
8.261225126106430e+00 -6.983768966211820e+00 -2.635628209168982e+00
8.377580409572717e+00 -7.283462597623660e+00 -2.511315794376519e+00
8.493935693039004e+00 -7.567339584647691e+00 -2.365374613270702e+00
8.610290976505292e+00 -7.833442370035882e+00 -2.207333774470632e+00
8.726646259971579e+00 -8.080872951562796e+00 -2.045713871442548e+00
8.843001543437866e+00 -8.309629540083852e+00 -1.887327437439180e+00
8.959356826904154e+00 -8.520391788815331e+00 -1.737075112592069e+00
9.075712110370441e+00 -8.714303985978397e+00 -1.598085446290146e+00
9.192067393836728e+00 -8.892786261899371e+00 -1.472031084648347e+00
9.308422677303016e+00 -9.057386375215311e+00 -1.359493117367379e+00
9.424777960769303e+00 -9.209672763963352e+00 -1.260297314629069e+00
9.541133244235590e+00 -9.351163291327847e+00 -1.173788540237637e+00
9.657488527701878e+00 -9.483281914663079e+00 -1.099036680094632e+00
9.773843811168165e+00 -9.607335640115407e+00 -1.034981201866371e+00
9.890199094634452e+00 -9.724505309829285e+00 -9.805265083123471e-01
1.000655437810074e+01 -9.835845232584768e+00 -9.346005582189220e-01
1.012290966156703e+01 -9.942288029128235e+00 -8.961874755234512e-01
1.023926494503331e+01 -1.004465217681166e+01 -8.643425457879942e-01
1.035562022849960e+01 -1.014365058539354e+01 -8.381958184307202e-01
1.047197551196589e+01 -1.023989915149646e+01 -8.169487524602320e-01
1.058833079543218e+01 -1.033392467333002e+01 -7.998669994243062e-01
1.070468607889846e+01 -1.042617180788761e+01 -7.862714534135796e-01
1.082104136236475e+01 -1.051700895935985e+01 -7.755290306714032e-01
1.093739664583104e+01 -1.060673312964927e+01 -7.670441891650706e-01
1.105375192929733e+01 -1.069557386049708e+01 -7.602518923863411e-01
1.117010721276361e+01 -1.078369646553064e+01 -7.546125071016472e-01
1.128646249622990e+01 -1.087120479763716e+01 -7.496089604095816e-01
1.140281777969619e+01 -1.095814382645978e+01 -7.447463373751424e-01
1.151917306316247e+01 -1.104450231361114e+01 -7.395539568951379e-01
1.163552834662876e+01 -1.113021586876579e+01 -7.335898098847203e-01
1.175188363009505e+01 -1.121517064680037e+01 -7.264470789294427e-01
1.186823891356134e+01 -1.129920790360656e+01 -7.177622892442941e-01
1.198459419702762e+01 -1.138212956636651e+01 -7.072244813864154e-01
