N                   Sum Up                   Sum Down                 Difference Divided by Average
1.0000000000000000               1.0000000000000000               1.0000000000000000               0.0000000000000000
100001.0000000000000000               12.0908603668212891               12.0901622772216797               0.0000577386344958
200001.0000000000000000               12.7827615737915039               12.7833061218261719               0.0000425992802775
300001.0000000000000000               13.1953277587890625               13.1887683868408203               0.0004972216556780
400001.0000000000000000               13.4814300537109375               13.4764518737792969               0.0003693301987369
500001.0000000000000000               13.6906938552856445               13.6996088027954102               0.0006509564700536
600001.0000000000000000               13.8814287185668945               13.8818826675415039               0.0000327013549395
700001.0000000000000000               14.0712566375732422               14.0361928939819336               0.0024949787184596
800001.0000000000000000               14.1666240692138672               14.1697340011596680               0.0002195011766162
900001.0000000000000000               14.2619915008544922               14.2874269485473633               0.0017818539636210
1000001.0000000000000000               14.3573589324951172               14.3926525115966797               0.0024552044924349
1100001.0000000000000000               14.4527263641357422               14.4878845214843750               0.0024296762421727
1200001.0000000000000000               14.5480937957763672               14.5748653411865234               0.0018385181901976
1300001.0000000000000000               14.6434612274169922               14.6552524566650391               0.0008048973977566
1400001.0000000000000000               14.7388286590576172               14.7289972305297852               0.0006672652671114
1500001.0000000000000000               14.8341960906982422               14.7982769012451172               0.0024243127554655
1600001.0000000000000000               14.9295635223388672               14.8626441955566406               0.0044924048706889
1700001.0000000000000000               15.0249309539794922               14.9234895706176758               0.0067744059488177
1800001.0000000000000000               15.1202983856201172               14.9805507659912109               0.0092852944508195
1900001.0000000000000000               15.2156658172607422               15.0346641540527344               0.0119669213891029
2000001.0000000000000000               15.3110332489013672               15.0865802764892578               0.0147678023204207
2100001.0000000000000000               15.4036827087402344               15.1342983245849609               0.0176425799727440
2200001.0000000000000000               15.4036827087402344               15.1817865371704102               0.0145099088549614
2300001.0000000000000000               15.4036827087402344               15.2254800796508789               0.0116361416876316
2400001.0000000000000000               15.4036827087402344               15.2695884704589844               0.0087433932349086
2500001.0000000000000000               15.4036827087402344               15.3086023330688477               0.0061916839331388
2600001.0000000000000000               15.4036827087402344               15.3480424880981445               0.0036186731886119
2700001.0000000000000000               15.4036827087402344               15.3870658874511719               0.0010793386027217
2800001.0000000000000000               15.4036827087402344               15.4213809967041016               0.0011483050184324
2900001.0000000000000000               15.4036827087402344               15.4576740264892578               0.0034989593550563
3000001.0000000000000000               15.4036827087402344               15.4919118881225586               0.0057114404626191
3100001.0000000000000000               15.4036827087402344               15.5237627029418945               0.0077652712352574
3200001.0000000000000000               15.4036827087402344               15.5559825897216797               0.0098385997116566
3300001.0000000000000000               15.4036827087402344               15.5866985321044922               0.0118111371994019
3400001.0000000000000000               15.4036827087402344               15.6155347824096680               0.0136594073846936
3500001.0000000000000000               15.4036827087402344               15.6465673446655273               0.0156446173787117
3600001.0000000000000000               15.4036827087402344               15.6741790771484375               0.0174076557159424
3700001.0000000000000000               15.4036827087402344               15.7023210525512695               0.0192013327032328
3800001.0000000000000000               15.4036827087402344               15.7260589599609375               0.0207117851823568
3900001.0000000000000000               15.4036827087402344               15.7517938613891602               0.0223467070609331
4000001.0000000000000000               15.4036827087402344               15.7773361206054688               0.0239667221903801
4100001.0000000000000000               15.4036827087402344               15.8076324462890625               0.0258848257362843
4200001.0000000000000000               15.4036827087402344               15.8307895660400391               0.0273484271019697
4300001.0000000000000000               15.4036827087402344               15.8515062332153320               0.0286559481173754
4400001.0000000000000000               15.4036827087402344               15.8717803955078125               0.0299338605254889
4500001.0000000000000000               15.4036827087402344               15.8947372436523438               0.0313788689672947
4600001.0000000000000000               15.4036827087402344               15.9165372848510742               0.0327491015195847
4700001.0000000000000000               15.4036827087402344               15.9387388229370117               0.0341426134109497
4800001.0000000000000000               15.4036827087402344               15.9605503082275391               0.0355097204446793
4900001.0000000000000000               15.4036827087402344               15.9836730957031250               0.0369569435715675
5000001.0000000000000000               15.4036827087402344               16.0078544616699219               0.0384681448340416
5100001.0000000000000000               15.4036827087402344               16.0271797180175781               0.0396741889417171
5200001.0000000000000000               15.4036827087402344               16.0421943664550781               0.0406101979315281
5300001.0000000000000000               15.4036827087402344               16.0576629638671875               0.0415735729038715
5400001.0000000000000000               15.4036827087402344               16.0745468139648438               0.0426240041851997
5500001.0000000000000000               15.4036827087402344               16.0941314697265625               0.0438410602509975
5600001.0000000000000000               15.4036827087402344               16.1153030395507812               0.0451550260186195
5700001.0000000000000000               15.4036827087402344               16.1333599090576172               0.0462742932140827
5800001.0000000000000000               15.4036827087402344               16.1488647460937500               0.0472343489527702
5900001.0000000000000000               15.4036827087402344               16.1647663116455078               0.0482179932296276
6000001.0000000000000000               15.4036827087402344               16.1824932098388672               0.0493133775889874
6100001.0000000000000000               15.4036827087402344               16.2023563385009766               0.0505393035709858
6200001.0000000000000000               15.4036827087402344               16.2200889587402344               0.0516324415802956
6300001.0000000000000000               15.4036827087402344               16.2360916137695312               0.0526178777217865
6400001.0000000000000000               15.4036827087402344               16.2522392272949219               0.0536112338304520
6500001.0000000000000000               15.4036827087402344               16.2698783874511719               0.0546951889991760
6600001.0000000000000000               15.4036827087402344               16.2865409851074219               0.0557180196046829
6700001.0000000000000000               15.4036827087402344               16.2998161315917969               0.0565321482717991
6800001.0000000000000000               15.4036827087402344               16.3123970031738281               0.0573030635714531
6900001.0000000000000000               15.4036827087402344               16.3255901336669922               0.0581108443439007
7000001.0000000000000000               15.4036827087402344               16.3368549346923828               0.0588000267744064
7100001.0000000000000000               15.4036827087402344               16.3482131958007812               0.0594944320619106
7200001.0000000000000000               15.4036827087402344               16.3613014221191406               0.0602939836680889
