r    u(r)
0.1    0.0131504
0.2    0.0262871
0.3    0.0393964
0.4    0.0524647
0.5    0.0654785
0.6    0.0784241
0.7    0.0912883
0.8    0.104058
0.9    0.116719
1    0.12926
1.1    0.141666
1.2    0.153926
1.3    0.166028
1.4    0.177958
1.5    0.189704
1.6    0.201256
1.7    0.212602
1.8    0.22373
1.9    0.234629
2    0.24529
2.1    0.255701
2.2    0.265852
2.3    0.275735
2.4    0.28534
2.5    0.294658
2.6    0.303681
2.7    0.3124
2.8    0.320808
2.9    0.328899
3    0.336664
3.1    0.344098
3.2    0.351195
3.3    0.357949
3.4    0.364356
3.5    0.370411
3.6    0.376109
3.7    0.381447
3.8    0.386423
3.9    0.391033
4    0.395275
4.1    0.399147
4.2    0.402649
4.3    0.405779
4.4    0.408537
4.5    0.410923
4.6    0.412939
4.7    0.414584
4.8    0.415861
4.9    0.416772
5    0.417318
5.1    0.417504
5.2    0.417332
5.3    0.416806
5.4    0.41593
5.5    0.41471
5.6    0.413149
5.7    0.411253
5.8    0.409029
5.9    0.406481
6    0.403617
6.1    0.400444
6.2    0.396969
6.3    0.393198
6.4    0.389141
6.5    0.384805
6.6    0.380198
6.7    0.37533
6.8    0.370208
6.9    0.364843
7    0.359243
7.1    0.353418
7.2    0.347379
7.3    0.341134
7.4    0.334694
7.5    0.328069
7.6    0.321269
7.7    0.314305
7.8    0.307188
7.9    0.299929
8    0.292536
8.1    0.285023
8.2    0.277399
8.3    0.269675
8.4    0.261862
8.5    0.253971
8.6    0.246012
8.7    0.237997
8.8    0.229935
8.9    0.221838
9    0.213716
9.1    0.205578
9.2    0.197437
9.3    0.1893
9.4    0.181179
9.5    0.173084
9.6    0.165023
9.7    0.157007
9.8    0.149044
9.9    0.141143
10    0.133314
