r    u(r)
0.1    0.0047503
0.2    0.00949917
0.3    0.0142452
0.4    0.0189869
0.5    0.023723
0.6    0.028452
0.7    0.0331724
0.8    0.0378829
0.9    0.042582
1    0.0472684
1.1    0.0519407
1.2    0.0565974
1.3    0.0612373
1.4    0.0658589
1.5    0.0704609
1.6    0.0750419
1.7    0.0796005
1.8    0.0841355
1.9    0.0886456
2    0.0931294
2.1    0.0975856
2.2    0.102013
2.3    0.10641
2.4    0.110776
2.5    0.115109
2.6    0.119409
2.7    0.123673
2.8    0.127902
2.9    0.132093
3    0.136245
3.1    0.140358
3.2    0.14443
3.3    0.14846
3.4    0.152447
3.5    0.15639
3.6    0.160289
3.7    0.164141
3.8    0.167946
3.9    0.171703
4    0.175412
4.1    0.17907
4.2    0.182678
4.3    0.186235
4.4    0.189739
4.5    0.193189
4.6    0.196586
4.7    0.199928
4.8    0.203214
4.9    0.206444
5    0.209617
5.1    0.212732
5.2    0.215789
5.3    0.218787
5.4    0.221726
5.5    0.224604
5.6    0.227422
5.7    0.230179
5.8    0.232875
5.9    0.235508
6    0.238079
6.1    0.240587
6.2    0.243032
6.3    0.245413
6.4    0.24773
6.5    0.249983
6.6    0.252172
6.7    0.254296
6.8    0.256355
6.9    0.25835
7    0.260279
7.1    0.262142
7.2    0.26394
7.3    0.265673
7.4    0.26734
7.5    0.268942
7.6    0.270478
7.7    0.271948
7.8    0.273354
7.9    0.274693
8    0.275968
8.1    0.277177
8.2    0.278321
8.3    0.279401
8.4    0.280416
8.5    0.281367
8.6    0.282253
8.7    0.283076
8.8    0.283835
8.9    0.284531
9    0.285165
9.1    0.285736
9.2    0.286244
9.3    0.286692
9.4    0.287077
9.5    0.287403
9.6    0.287668
9.7    0.287873
9.8    0.288019
9.9    0.288106
10    0.288135
