r    u(r)
0.1    0.149476
0.2    0.294501
0.3    0.430844
0.4    0.554701
0.5    0.662866
0.6    0.752871
0.7    0.823073
0.8    0.872687
0.9    0.90177
1    0.911161
1.1    0.902375
1.2    0.877469
1.3    0.838894
1.4    0.789336
1.5    0.731564
1.6    0.668291
1.7    0.602055
1.8    0.535128
1.9    0.469456
2    0.406615
2.1    0.34781
2.2    0.293882
2.3    0.245336
2.4    0.202388
2.5    0.165011
2.6    0.132984
2.7    0.10595
2.8    0.0834577
2.9    0.0650028
3    0.0500655
3.1    0.0381346
3.2    0.028728
3.3    0.0214054
3.4    0.0157761
3.5    0.0115016
3.6    0.00829501
3.7    0.00591832
3.8    0.00417753
3.9    0.00291741
4    0.0020158
4.1    0.0013781
4.2    0.000932212
4.3    0.000623963
4.4    0.000413261
4.5    0.000270847
4.6    0.000175657
4.7    0.000112735
4.8    7.15997e-05
4.9    4.50022e-05
5    2.79918e-05
5.1    1.72311e-05
5.2    1.04975e-05
5.3    6.32925e-06
5.4    3.77679e-06
5.5    2.23049e-06
5.6    1.30375e-06
5.7    7.5423e-07
5.8    4.31854e-07
5.9    2.44737e-07
6    1.37276e-07
6.1    7.6212e-08
6.2    4.18788e-08
6.3    2.27777e-08
6.4    1.22623e-08
6.5    6.53409e-09
6.6    3.4463e-09
6.7    1.79919e-09
6.8    9.29743e-10
6.9    4.75567e-10
7    2.40783e-10
7.1    1.20673e-10
7.2    5.98635e-11
7.3    2.9396e-11
7.4    1.42887e-11
7.5    6.87498e-12
7.6    3.2744e-12
7.7    1.54374e-12
7.8    7.20442e-13
7.9    3.32821e-13
8    1.52198e-13
8.1    6.88965e-14
8.2    3.08728e-14
8.3    1.36945e-14
8.4    6.01329e-15
8.5    2.61381e-15
8.6    1.12469e-15
8.7    4.79057e-16
8.8    2.01996e-16
8.9    8.4314e-17
9    3.48384e-17
9.1    1.42502e-17
9.2    5.77016e-18
9.3    2.31292e-18
9.4    9.17783e-19
9.5    3.60519e-19
9.6    1.40192e-19
9.7    5.39673e-20
9.8    2.05659e-20
9.9    7.75848e-21
10    2.89747e-21
