r    u(r)
0.1    0.0208766
0.2    0.0417131
0.3    0.0624693
0.4    0.0831054
0.5    0.103582
0.6    0.12386
0.7    0.1439
0.8    0.163665
0.9    0.183117
1    0.20222
1.1    0.220938
1.2    0.239237
1.3    0.257083
1.4    0.274443
1.5    0.291287
1.6    0.307585
1.7    0.323307
1.8    0.338429
1.9    0.352923
2    0.366765
2.1    0.379935
2.2    0.392411
2.3    0.404174
2.4    0.415207
2.5    0.425495
2.6    0.435025
2.7    0.443785
2.8    0.451765
2.9    0.458958
3    0.465358
3.1    0.470961
3.2    0.475765
3.3    0.479769
3.4    0.482976
3.5    0.485389
3.6    0.487014
3.7    0.487857
3.8    0.487929
3.9    0.487239
4    0.4858
4.1    0.483626
4.2    0.480734
4.3    0.47714
4.4    0.472862
4.5    0.467923
4.6    0.462342
4.7    0.456142
4.8    0.449349
4.9    0.441986
5    0.43408
5.1    0.425658
5.2    0.416748
5.3    0.40738
5.4    0.397582
5.5    0.387384
5.6    0.376818
5.7    0.365914
5.8    0.354704
5.9    0.34322
6    0.331493
6.1    0.319556
6.2    0.30744
6.3    0.295178
6.4    0.2828
6.5    0.270339
6.6    0.257826
6.7    0.24529
6.8    0.232762
6.9    0.220272
7    0.207848
7.1    0.195518
7.2    0.18331
7.3    0.17125
7.4    0.159364
7.5    0.147675
7.6    0.136207
7.7    0.124983
7.8    0.114024
7.9    0.103349
8    0.0929777
8.1    0.082927
8.2    0.0732133
8.3    0.0638515
8.4    0.0548549
8.5    0.0462358
8.6    0.038005
8.7    0.0301718
8.8    0.0227444
8.9    0.0157294
9    0.00913216
9.1    0.00295651
9.2    -0.00279489
9.3    -0.0081208
9.4    -0.0130213
9.5    -0.0174976
9.6    -0.0215524
9.7    -0.0251894
9.8    -0.0284137
9.9    -0.0312314
10    -0.0336497
