r    u(r)
0.1    -0.156222
0.2    -0.302245
0.3    -0.429625
0.4    -0.532997
0.5    -0.610644
0.6    -0.664233
0.7    -0.69784
0.8    -0.716613
0.9    -0.725439
1    -0.727971
1.1    -0.726221
1.2    -0.720714
1.3    -0.711049
1.4    -0.696623
1.5    -0.677233
1.6    -0.6534
1.7    -0.626339
1.8    -0.597652
1.9    -0.568898
2    -0.541199
2.1    -0.515027
2.2    -0.490223
2.3    -0.466208
2.4    -0.442296
2.5    -0.417998
2.6    -0.393209
2.7    -0.36824
2.8    -0.343703
2.9    -0.320302
3    -0.298614
3.1    -0.278925
3.2    -0.261176
3.3    -0.245006
3.4    -0.229892
3.5    -0.215301
3.6    -0.200847
3.7    -0.186371
3.8    -0.17196
3.9    -0.157893
4    -0.144539
4.1    -0.132254
4.2    -0.12128
4.3    -0.111692
4.4    -0.10339
4.5    -0.0961273
4.6    -0.0895717
4.7    -0.0833735
4.8    -0.0772294
4.9    -0.0709279
5    -0.0643708
5.1    -0.0575713
5.2    -0.0506338
5.3    -0.0437222
5.4    -0.0370251
5.5    -0.0307241
5.6    -0.0249699
5.7    -0.0198677
5.8    -0.0154725
5.9    -0.0117913
6    -0.00879151
6.1    -0.00641148
6.2    -0.00457204
6.3    -0.00318662
6.4    -0.00216948
6.5    -0.00144153
6.6    -0.000933728
6.7    -0.000588611
6.8    -0.00036026
6.9    -0.000213339
7    -0.000121586
7.1    -6.61198e-05
7.2    -3.38001e-05
7.3    -1.57683e-05
7.4    -6.24414e-06
7.5    -1.58108e-06
7.6    4.39792e-07
7.7    1.11561e-06
7.8    1.16995e-06
7.9    9.8352e-07
8    7.41035e-07
8.1    5.21063e-07
8.2    3.48601e-07
8.3    2.24303e-07
8.4    1.39732e-07
8.5    8.46506e-08
8.6    5.00233e-08
8.7    2.89002e-08
8.8    1.63513e-08
8.9    9.07183e-09
9    4.94067e-09
9.1    2.64357e-09
9.2    1.39064e-09
9.3    7.19626e-10
9.4    3.6651e-10
9.5    1.83795e-10
9.6    9.07843e-11
9.7    4.41831e-11
9.8    2.1193e-11
9.9    1.00214e-11
10    4.67266e-12
