r    u(r)
0.1    0.16742
0.2    0.319087
0.3    0.444091
0.4    0.538954
0.5    0.60696
0.6    0.654946
0.7    0.689469
0.8    0.714335
0.9    0.730381
1    0.737032
1.1    0.734239
1.2    0.723486
1.3    0.707421
1.4    0.688618
1.5    0.668482
1.6    0.647027
1.7    0.623572
1.8    0.597742
1.9    0.570066
2    0.541808
2.1    0.514256
2.2    0.488031
2.3    0.462896
2.4    0.438146
2.5    0.413253
2.6    0.388309
2.7    0.36397
2.8    0.341015
2.9    0.319839
3    0.30024
3.1    0.281619
3.2    0.263417
3.3    0.24548
3.4    0.228125
3.5    0.211885
3.6    0.197136
3.7    0.183844
3.8    0.171602
3.9    0.15989
4    0.148386
4.1    0.137134
4.2    0.126465
4.3    0.116759
4.4    0.108193
4.5    0.100625
4.6    0.0936858
4.7    0.0869793
4.8    0.0802974
4.9    0.0737037
5    0.0674642
5.1    0.0618731
5.2    0.0570793
5.3    0.0530034
5.4    0.0493822
5.5    0.0459026
5.6    0.0423502
5.7    0.0386964
5.8    0.0350898
5.9    0.0317645
6    0.028919
6.1    0.0266223
6.2    0.0247869
6.3    0.0232118
6.4    0.0216691
6.5    0.0199927
6.6    0.0181336
6.7    0.0161641
6.8    0.0142373
6.9    0.0125214
7    0.0111382
7.1    0.010124
7.2    0.00942404
7.3    0.00891636
7.4    0.00845194
7.5    0.0078973
7.6    0.00716607
7.7    0.00623323
7.8    0.00513167
7.9    0.0039357
8    0.00273853
8.1    0.00163027
8.2    0.000681556
8.3    -6.53015e-05
8.4    -0.00059755
8.5    -0.000927613
8.6    -0.00108548
8.7    -0.00111027
8.8    -0.00104284
8.9    -0.000920285
9    -0.000772743
9.1    -0.000622251
9.2    -0.000483065
9.3    -0.0003629
9.4    -0.000264564
9.5    -0.000187577
9.6    -0.000129564
9.7    -8.73103e-05
9.8    -5.74684e-05
9.9    -3.69837e-05
10    -2.32907e-05
