r    u(r)
0.1    0.032778
0.2    0.0654395
0.3    0.0978684
0.4    0.12995
0.5    0.161571
0.6    0.19262
0.7    0.22299
0.8    0.252576
0.9    0.281276
1    0.308994
1.1    0.335639
1.2    0.361123
1.3    0.385365
1.4    0.40829
1.5    0.42983
1.6    0.449921
1.7    0.468509
1.8    0.485545
1.9    0.500989
2    0.514806
2.1    0.526971
2.2    0.537465
2.3    0.546276
2.4    0.553403
2.5    0.558849
2.6    0.562625
2.7    0.56475
2.8    0.565252
2.9    0.564161
3    0.561519
3.1    0.55737
3.2    0.551767
3.3    0.544768
3.4    0.536434
3.5    0.526835
3.6    0.516042
3.7    0.504132
3.8    0.491184
3.9    0.477281
4    0.46251
4.1    0.446958
4.2    0.430714
4.3    0.413868
4.4    0.396513
4.5    0.378739
4.6    0.360636
4.7    0.342297
4.8    0.323808
4.9    0.305257
5    0.286729
5.1    0.268306
5.2    0.250068
5.3    0.23209
5.4    0.214444
5.5    0.1972
5.6    0.180419
5.7    0.164163
5.8    0.148485
5.9    0.133435
6    0.119057
6.1    0.105391
6.2    0.09247
6.3    0.0803228
6.4    0.0689725
6.5    0.0584364
6.6    0.048727
6.7    0.0398511
6.8    0.0318105
6.9    0.0246018
7    0.018217
7.1    0.0126432
7.2    0.00786297
7.3    0.00385483
7.4    0.000593217
7.5    -0.00195108
7.6    -0.00381069
7.7    -0.00502131
7.8    -0.0056214
7.9    -0.00565184
8    -0.0051556
8.1    -0.00417737
8.2    -0.00276322
8.3    -0.000960263
8.4    0.00118371
8.5    0.00362057
8.6    0.00630221
8.7    0.00918083
8.8    0.0122093
8.9    0.0153414
9    0.0185324
9.1    0.0217386
9.2    0.0249187
9.3    0.0280331
9.4    0.0310444
9.5    0.0339177
9.6    0.036621
9.7    0.0391248
9.8    0.0414026
9.9    0.0434309
10    0.0451893
