# Spherical Bessel functions via up and down recursion
log(x)   ans_down   ans_up   gsl_bes   log(rel_dif)   rel_dif_gsl
-2.302585092994 7.271510996714e-21 -5.646698220813e+02 7.271510996714e-21 0.000000000000e+00 2.069216108911e-16 
-1.609437912434 7.441172528051e-18 -1.371593364500e-01 7.441172528051e-18 0.000000000000e+00 0.000000000000e+00 
-1.203972804326 4.286292970560e-16 3.908255790907e-04 4.286292970560e-16 -2.193467629754e-12 1.725400255475e-16 
-0.916290731874 7.599905487801e-15 -3.662896398665e-04 7.599905487801e-15 0.000000000000e+00 1.037987783515e-16 
-0.693147180560 7.064123963662e-14 -2.153572674324e-05 7.064123963662e-14 0.000000000000e+00 2.680114593500e-16 
-0.510825623766 4.363466946970e-13 3.815484341554e-06 4.363466946970e-13 -2.287241435811e-07 1.735561374054e-16 
-0.356674943939 2.032690813659e-12 -7.701172349953e-07 2.032690813659e-12 0.000000000000e+00 2.980508256045e-16 
-0.223143551314 7.701462808418e-12 -3.546635072842e-07 7.701462808418e-12 0.000000000000e+00 2.097766585494e-16 
-0.105360515658 2.491675128449e-11 2.769320684278e-08 2.491675128449e-11 -1.799485205857e-03 3.241969860851e-16 
-0.000000000000 7.116552640047e-11 4.001014853346e-08 7.116552640047e-11 -3.557377518383e-03 3.632291567243e-16 
0.095310179804 1.837426794263e-10 5.860302284126e-09 1.837426794263e-10 -6.272813793013e-02 1.406825796978e-16 
0.182321556794 4.364345826223e-10 -4.876726162339e-09 4.364345826223e-10 0.000000000000e+00 5.922856522269e-17 
0.262364264467 9.664368164625e-10 -1.533026703125e-09 9.664368164625e-10 0.000000000000e+00 1.069884495373e-16 
0.336472236621 2.015872411662e-09 2.260300546156e-09 2.015872411662e-09 -2.861892382578e+00 3.077503595097e-16 
0.405465108108 3.993440699484e-09 3.449675234300e-09 3.993440699484e-09 -2.616526824739e+00 0.000000000000e+00 
0.470003629246 7.563022131425e-09 7.336672749299e-09 7.563022131425e-09 -4.187016269769e+00 2.187434065850e-16 
0.530628251062 1.376747420141e-08 1.372920403310e-08 1.376747420141e-08 -6.577149787563e+00 1.802467033064e-16 
0.587786664902 2.419735543954e-08 2.419953470229e-08 2.419735543954e-08 -1.000820420486e+01 2.051085164129e-16 
0.641853886172 4.121588066444e-08 4.128500793822e-08 4.121588066444e-08 -7.084614990100e+00 0.000000000000e+00 
0.693147180560 6.825300864975e-08 6.834199102436e-08 6.825300864975e-08 -7.336337307792e+00 1.939092512209e-16 
0.741937344729 1.101831559004e-07 1.101868597919e-07 1.101831559004e-07 -1.099367926365e+01 0.000000000000e+00 
0.788457360364 1.738025761244e-07 1.738001158513e-07 1.738025761244e-07 -1.185854307629e+01 3.045959408882e-16 
0.832909122935 2.684238995677e-07 2.684388372317e-07 2.684238995677e-07 -1.048961191635e+01 9.861185849818e-17 
0.875468737354 4.066066422523e-07 4.066091553403e-07 4.066066422524e-07 -1.268723954533e+01 6.509923068416e-17 
0.916290731874 6.050436229639e-07 6.050455909407e-07 6.050436229639e-07 -1.332919859462e+01 3.499883789804e-16 
0.955511445027 8.856241150972e-07 8.856258411997e-07 8.856241150972e-07 -1.384133007094e+01 5.977655565260e-17 
0.993251773010 1.276695160530e-06 1.276698377607e-06 1.276695160530e-06 -1.358446066617e+01 8.293218434607e-17 
1.029619417181 1.814542733631e-06 1.814542831959e-06 1.814542733631e-06 -1.742393546275e+01 6.418533335637e-16 
1.064710736992 2.545114317201e-06 2.545113721273e-06 2.545114317201e-06 -1.596046873398e+01 4.992111404562e-16 
1.098612288668 3.526003893175e-06 3.526002897773e-06 3.526003893175e-06 -1.577343136790e+01 7.206738616146e-16 
1.131402111491 4.828719317715e-06 4.828719593998e-06 4.828719317715e-06 -1.736956858673e+01 1.841864345592e-15 
1.163150809806 6.541250506097e-06 6.541250770453e-06 6.541250506097e-06 -1.771724684649e+01 1.100673341428e-15 
1.193922468472 8.770954766466e-06 8.770954839112e-06 8.770954766466e-06 -1.930225241777e+01 3.862899626357e-16 
1.223775431622 1.164777296879e-05 1.164777266183e-05 1.164777296879e-05 -1.814483145846e+01 3.636029606364e-16 
1.252762968495 1.532778699940e-05 1.532778723723e-05 1.532778699940e-05 -1.867452043216e+01 2.210450725307e-16 
1.280933845462 1.999712512398e-05 1.999712513428e-05 1.999712512398e-05 -2.207996535197e+01 2.541464161481e-16 
1.308332819650 2.587621746329e-05 2.587621748157e-05 2.587621746329e-05 -2.176406037739e+01 0.000000000000e+00 
1.335001066732 3.322439878664e-05 3.322439880174e-05 3.322439878664e-05 -2.220485097230e+01 3.059316568021e-16 
1.360976553136 4.234485026902e-05 4.234485021000e-05 4.234485026902e-05 -2.108443945547e+01 8.001284140792e-17 
1.386294361120 5.358986576863e-05 5.358986580451e-05 5.358986576863e-05 -2.181777417076e+01 3.793402062597e-16 
1.410986973710 6.736642160562e-05 6.736642166344e-05 6.736642160562e-05 -2.156917036041e+01 2.011762957428e-16 
1.435084525289 8.414202181097e-05 8.414202185061e-05 8.414202181097e-05 -2.216914323627e+01 1.610672867656e-16 
1.458615022700 1.044507834309e-04 1.044507834213e-04 1.044507834309e-04 -2.380491996924e+01 1.297503638643e-16 
1.481604540924 1.288997187895e-04 1.288997187805e-04 1.288997187895e-04 -2.407168933363e+01 1.051400831851e-16 
1.504077396776 1.581751637146e-04 1.581751637157e-04 1.581751637146e-04 -2.639177484753e+01 8.568050026188e-17 
1.526056303495 1.930492927115e-04 1.930492927181e-04 1.930492927115e-04 -2.478856286206e+01 7.020241807528e-17 
1.547562508716 2.343866540299e-04 2.343866540278e-04 2.343866540299e-04 -2.610556255383e+01 3.469274446233e-16 
1.568615917914 2.831506496140e-04 2.831506496187e-04 2.831506496140e-04 -2.551422651294e+01 9.572661884790e-17 
1.589235205117 3.404098771809e-04 3.404098771836e-04 3.404098771809e-04 -2.622514553418e+01 2.388742759459e-16 
1.609437912434 4.073442442495e-04 4.073442442525e-04 4.073442442495e-04 -2.630583433381e+01 1.330818082974e-16 
1.629240539730 4.852507569730e-04 4.852507569735e-04 4.852507569730e-04 -2.825712451142e+01 1.675734901346e-16 
1.648658625587 5.755488802379e-04 5.755488802353e-04 5.755488802379e-04 -2.682766533477e+01 1.883770796387e-16 
1.667706820558 6.797853598140e-04 6.797853598176e-04 6.797853598140e-04 -2.665398310871e+01 7.974591956365e-17 
1.686398953570 7.996383925006e-04 7.996383924974e-04 7.996383925006e-04 -2.694397524748e+01 1.355865579559e-16 
1.704748092238 9.369210263386e-04 9.369210263375e-04 9.369210263386e-04 -2.819622976388e+01 1.157196969655e-16 
