# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=10, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.6900  1.187776667926141e-02  -9.531275487696805e-03  4.542260621118499e-05  2.784834053754989e-03
0.7000  1.178283532059611e-02  -9.455098125715797e-03  4.469944028345719e-05  2.740497163601513e-03
0.7100  1.168866268729573e-02  -9.379529600451691e-03  4.398778776287473e-05  2.696866153866953e-03
0.7200  1.159524271535581e-02  -9.304565045863841e-03  4.328746534635559e-05  2.653929786343936e-03
0.7300  1.150256938923764e-02  -9.230199634802691e-03  4.259829264915587e-05  2.611677001746762e-03
0.7400  1.141063674148082e-02  -9.156428578698972e-03  4.192009215840764e-05  2.570096916862823e-03
0.7500  1.131943885231902e-02  -9.083247127255350e-03  4.125268918739628e-05  2.529178821749363e-03
0.7600  1.122896984929881e-02  -9.010650568140564e-03  4.059591183056593e-05  2.488912176974888e-03
0.7700  1.113922390690150e-02  -8.938634226685973e-03  3.994959091924097e-05  2.449286610904478e-03
0.7800  1.105019524616803e-02  -8.867193465584566e-03  3.931355997805281e-05  2.410291917028323e-03
0.7900  1.096187813432686e-02  -8.796323684592343e-03  3.868765518206011e-05  2.371918051332800e-03
0.8000  1.087426688442480e-02  -8.726020320232095e-03  3.807171531455172e-05  2.334155129713395e-03
0.8100  1.078735585496082e-02  -8.656278845499559e-03  3.746558172552159e-05  2.296993425428808e-03
0.8200  1.070113944952278e-02  -8.587094769571903e-03  3.686909829080456e-05  2.260423366595611e-03
0.8300  1.061561211642708e-02  -8.518463637518559e-03  3.628211137186296e-05  2.224435533722776e-03
0.8400  1.053076834836117e-02  -8.450381030014357e-03  3.570446977621325e-05  2.189020657285459e-03
0.8500  1.044660268202888e-02  -8.382842563054951e-03  3.513602471848285e-05  2.154169615337410e-03
0.8600  1.036310969779867e-02  -8.315843887674536e-03  3.457662978208697e-05  2.119873431161409e-03
0.8700  1.028028401935465e-02  -8.249380689665785e-03  3.402614088151537e-05  2.086123270957085e-03
0.8800  1.019812031335034e-02  -8.183448689302056e-03  3.348441622521977e-05  2.052910441565569e-03
0.8900  1.011661328906530e-02  -8.118043641061827e-03  3.295131627909218e-05  2.020226388230361e-03
0.9000  1.003575769806440e-02  -8.053161333355293e-03  3.242670373052440e-05  1.988062692393849e-03
0.9100  9.955548333859887e-03  -7.988797588253181e-03  3.191044345303993e-05  1.956411069528906e-03
0.9200  9.875980031576127e-03  -7.924948261217724e-03  3.140240247148891e-05  1.925263367005016e-03
0.9300  9.797047667617007e-03  -7.861609240835784e-03  3.090244992779729e-05  1.894611561988366e-03
0.9400  9.718746159336034e-03  -7.798776448554107e-03  3.041045704726110e-05  1.864447759375378e-03
0.9500  9.641070464709040e-03  -7.736445838416690e-03  2.992629710537746e-05  1.834764189759131e-03
0.9600  9.564015582009517e-03  -7.674613396804265e-03  2.944984539520375e-05  1.805553207428171e-03
0.9700  9.487576549486542e-03  -7.613275142175837e-03  2.898097919523626e-05  1.776807288397171e-03
0.9800  9.411748445045288e-03  -7.552427124812313e-03  2.851957773780039e-05  1.748519028468953e-03
0.9900  9.336526385930063e-03  -7.492065426562170e-03  2.806552217794410e-05  1.720681141327358e-03
1.0000  9.261905528409902e-03  -7.432186160589153e-03  2.761869556282646e-05  1.693286456660479e-03
1.0100  9.187881067466680e-03  -7.372785471121988e-03  2.717898280159374e-05  1.666327918313784e-03
1.0200  9.114448236485686e-03  -7.313859533206109e-03  2.674627063573494e-05  1.639798582472626e-03
1.0300  9.041602306948704e-03  -7.255404552457350e-03  2.632044760990942e-05  1.613691615873703e-03
1.0400  8.969338588129519e-03  -7.197416764817623e-03  2.590140404323889e-05  1.588000294044986e-03
1.0500  8.897652426791886e-03  -7.139892436312537e-03  2.548903200105648e-05  1.562717999573675e-03
1.0600  8.826539206889880e-03  -7.082827862810958e-03  2.508322526710562e-05  1.537838220401719e-03
1.0700  8.755994349270671e-03  -7.026219369786498e-03  2.468387931618148e-05  1.513354548148486e-03
1.0800  8.686013311379656e-03  -6.970063312080891e-03  2.429089128720802e-05  1.489260676460131e-03
1.0900  8.616591586967950e-03  -6.914356073669283e-03  2.390415995674365e-05  1.465550399385243e-03
1.1000  8.547724705802222e-03  -6.859094067427384e-03  2.352358571290877e-05  1.442217609776354e-03
1.1100  8.479408233376846e-03  -6.804273734900486e-03  2.314907052972830e-05  1.419256297716897e-03
1.1200  8.411637770628345e-03  -6.749891546074317e-03  2.278051794188276e-05  1.396660548973209e-03
1.1300  8.344408953652136e-03  -6.695943999147745e-03  2.241783301986135e-05  1.374424543471182e-03
1.1400  8.277717453421523e-03  -6.642427620307287e-03  2.206092234551056e-05  1.352542553797160e-03
1.1500  8.211558975508933e-03  -6.589338963503420e-03  2.170969398797217e-05  1.331008943722709e-03
1.1600  8.145929259809396e-03  -6.536674610228675e-03  2.136405748000410e-05  1.309818166752870e-03
1.1700  8.080824080266225e-03  -6.484431169297521e-03  2.102392379467861e-05  1.288964764697528e-03
1.1800  8.016239244598889e-03  -6.432605276627993e-03  2.068920532245115e-05  1.268443366265529e-03
1.1900  7.952170594033072e-03  -6.381193595025076e-03  2.035981584859452e-05  1.248248685681170e-03
1.2000  7.888614003032854e-03  -6.330192813965807e-03  2.003567053099217e-05  1.228375521322723e-03
1.2100  7.825565379035076e-03  -6.279599649386109e-03  1.971668587828507e-05  1.208818754382633e-03
1.2200  7.763020662185814e-03  -6.229410843469315e-03  1.940277972836654e-05  1.189573347549049e-03
1.2300  7.700975825078947e-03  -6.179623164436397e-03  1.909387122721946e-05  1.170634343708344e-03
1.2400  7.639426872496820e-03  -6.130233406337862e-03  1.878988080809036e-05  1.151996864668289e-03
1.2500  7.578369841152986e-03  -6.081238388847311e-03  1.849073017099512e-05  1.133656109901561e-03
1.2600  7.517800799437006e-03  -6.032634957056647e-03  1.819634226255093e-05  1.115607355309251e-03
1.2700  7.457715847161274e-03  -5.984419981272930e-03  1.790664125612935e-05  1.097845952004063e-03
1.2800  7.398111115309879e-03  -5.936590356816845e-03  1.762155253232538e-05  1.080367325112878e-03
1.2900  7.338982765789466e-03  -5.889143003822786e-03  1.734100265973743e-05  1.063166972598388e-03
1.3000  7.280326991182097e-03  -5.842074867040531e-03  1.706491937605332e-05  1.046240464099490e-03
1.3100  7.222140014500079e-03  -5.795382915638511e-03  1.679323156943737e-05  1.029583439790138e-03
1.3200  7.164418088942756e-03  -5.749064143008648e-03  1.652586926021388e-05  1.013191609256369e-03
1.3300  7.107157497655241e-03  -5.703115566572750e-03  1.626276358284221e-05  9.970607503912033e-04
1.3400  7.050354553489083e-03  -5.657534227590454e-03  1.600384676817876e-05  9.811867083071384e-04
1.3500  6.994005598764837e-03  -5.612317190968714e-03  1.574905212602148e-05  9.655653942659615e-04
1.3600  6.938107005036540e-03  -5.567461545072793e-03  1.549831402793216e-05  9.501927846255951e-04
1.3700  6.882655172858073e-03  -5.522964401538778e-03  1.525156789033230e-05  9.350649198037143e-04
1.3800  6.827646531551369e-03  -5.478822895087601e-03  1.500875015786804e-05  9.201779032578592e-04
1.3900  6.773077538976500e-03  -5.435034183340519e-03  1.476979828703997e-05  9.055279004817892e-04
1.4000  6.718944681303587e-03  -5.391595446636104e-03  1.453465073009358e-05  8.911111380178141e-04
1.4100  6.665244472786539e-03  -5.348503887848669e-03  1.430324691916616e-05  8.769239024848502e-04
1.4200  6.611973455538589e-03  -5.305756732208148e-03  1.407552725068604e-05  8.629625396219502e-04
1.4300  6.559128199309642e-03  -5.263351227121443e-03  1.385143307002040e-05  8.492234533470615e-04
1.4400  6.506705301265384e-03  -5.221284641995155e-03  1.363090665636724e-05  8.357031048307679e-04
1.4500  6.454701385768174e-03  -5.179554268059764e-03  1.341389120788806e-05  8.223980115847823e-04
1.4600  6.403113104159671e-03  -5.138157418195208e-03  1.320033082707722e-05  8.093047465649465e-04
1.4700  6.351937134545212e-03  -5.097091426757847e-03  1.299017050636417e-05  7.964199372885161e-04
1.4800  6.301170181579901e-03  -5.056353649408823e-03  1.278335611394496e-05  7.837402649654949e-04
1.4900  6.250808976256418e-03  -5.015941462943773e-03  1.257983437983926e-05  7.712624636438028e-04
1.5000  6.200850275694518e-03  -4.975852265123925e-03  1.237955288216945e-05  7.589833193680527e-04
1.5100  6.151290862932217e-03  -4.936083474508530e-03  1.218246003365810e-05  7.468996693517178e-04
1.5200  6.102127546718636e-03  -4.896632530288634e-03  1.198850506834044e-05  7.350084011624809e-04
1.5300  6.053357161308520e-03  -4.857496892122188e-03  1.179763802848836e-05  7.233064519205547e-04
1.5400  6.004976566258381e-03  -4.818674039970460e-03  1.160980975174262e-05  7.117908075097630e-04
1.5500  5.956982646224275e-03  -4.780161473935775e-03  1.142497185844992e-05  7.004585018011818e-04
1.5600  5.909372310761204e-03  -4.741956714100528e-03  1.124307673920154e-05  6.893066158891447e-04
1.5700  5.862142494124109e-03  -4.704057300367505e-03  1.106407754257041e-05  6.783322773394069e-04
1.5800  5.815290155070464e-03  -4.666460792301469e-03  1.088792816304343e-05  6.675326594492829e-04
1.5900  5.768812276664440e-03  -4.629164768972014e-03  1.071458322914586e-05  6.569049805195607e-04
1.6000  5.722705866082641e-03  -4.592166828797673e-03  1.054399809175484e-05  6.464465031380095e-04
1.6100  5.676967954421378e-03  -4.555464589391283e-03  1.037612881259894e-05  6.361545334742922e-04
1.6200  5.631595596505507e-03  -4.519055687406562e-03  1.021093215294080e-05  6.260264205861079e-04
1.6300  5.586585870698781e-03  -4.482937778385944e-03  1.004836556243995e-05  6.160595557363773e-04
1.6400  5.541935878715707e-03  -4.447108536609605e-03  9.888387168193011e-06  6.062513717212985e-04
1.6500  5.497642745434930e-03  -4.411565654945700e-03  9.730955763948242e-06  5.965993422091049e-04
1.6600  5.453703618714091e-03  -4.376306844701816e-03  9.576030799491983e-06  5.871009810893464e-04
1.6700  5.410115669206176e-03  -4.341329835477582e-03  9.423572370203904e-06  5.777538418325342e-04
1.6800  5.366876090177323e-03  -4.306632375018478e-03  9.273541206778646e-06  5.685555168599774e-04
1.6900  5.323982097326087e-03  -4.272212229070812e-03  9.125898665111097e-06  5.595036369236533e-04
1.7000  5.281430928604158e-03  -4.238067181237841e-03  8.980606716342631e-06  5.505958704959518e-04
1.7100  5.239219844038506e-03  -4.204195032837063e-03  8.837627937065916e-06  5.418299231691355e-04
1.7200  5.197346125554944e-03  -4.170593602758627e-03  8.696925499685593e-06  5.332035370643590e-04
